house_count,kfs,url,price,cj_count,name,location,year,coordinate,build_type,wy,build_count
1116户,成都天府华侨城实业发展有限公司,http://chunshuiancdhqc.fang.com/,24997,47套,华侨城纯水岸一期,华丰路219号,2013年建成,,塔楼,华侨城物业管理有限公司,16栋
3780户,成都珠江润景房地产开发有限公司,http://yujingwanzj028.fang.com/,17056,106套,珠江御景湾,光华大道三段1818号,2015年建成,,板楼,康景物业,32栋
2754户,万怡置业,http://hongshuwan028.fang.com/esf/,18178,68套,红树湾,中和大道69号（三利宅院对面）,2012-12-30,,塔楼,建业物业,12栋
1364户,成都华瑞房地产开发有限公司,http://huayuguangchang028.fang.com/,12368,0套,华宇广场,东二环外东大路与静康路交汇处,2017年建成,,塔楼,重庆华宇物业管理有限公司成都分公司,5栋
4604户,蓝光集团,http://fulihuacheng.fang.com/,16043,312套,富丽花城,荆翠中路88号,2009年建成,,塔楼,蓝光嘉宝物业管理有限公司,15栋
1089户,四川贵通建设集团有限公司,http://yuyuanshuangnanchenggt.fang.com/esf/,12399,2套,贵通御苑雙楠城,双楠大道与白衣上街交界处（蛟龙紫荆电影院对面）,2015-06-01,,板塔结合,成都丽盛物业管理有限公司,8栋
6204户,成都置信实业（集团）有限公司,http://yiduhuayuanpxzx.fang.com/,10327,209套,郫县置信逸都花园,南北大道168号（蜀新大道屈家院子旁）,2014年建成,,板塔结合,成都合达物业管理有限责任公司,14栋
122户,成都万华房地产开发有限公司,http://lushanguojiyuanshitan.fang.com/,24170,0套,麓山国际圆石滩,麓山大道二段6号,2005年建成,,独栋,成都麓山物业管理有限公司,122栋
17户,成都万华新城发展股份有限公司,http://lanhuayulhstc.fang.com/,28919,0套,麓湖生态城蓝花屿,天府大道南一段麓湖生态城,2013年建成,,独栋,成都麓山物业管理有限公司,16栋
484户,成都森宇实业集团有限公司,http://weiyenasenlin028.fang.com/villa/,11549,1套,维也纳森林别墅,牧马山四川国际高尔夫俱乐部旁,2004年建成,,独栋,成都市森宇物业有限责任公司,484栋
17户,四川南山实业有限公司,http://shandingshang.fang.com/esf/,12226,2套,山顶上,文星镇光电路（川大新校区旁）,2011-03-01,,联排,高力国际（顾问）,3栋
3352户,龙湖地产,http://longhushiji.fang.com/,20886,156套,龙湖世纪峰景,世纪城路418号,2017年建成,,板楼,成都龙湖物业服务有限公司,10栋
2912户,成都国奥置业有限公司,http://chengduguoyuncun.fang.com/esf/,13667,10套,成都国韵村,东升镇航都大街三段78号（迎龙花园旁）,2014-12-01,,板楼,成都国奥置业有限公司,19栋
1060户,成都奥克斯财富广场投资有限公司,http://guangchangaks.fang.com/,21740,58套,奥克斯广场,武侯区锦城大道666号,2013年建成,,塔楼,成都奥克斯物业管理有限公司,8栋
4105户,四川华银达实业有限公司,http://huayinmeijing.fang.com/,14935,117套,华银美景,锦江路四段188号,2011年建成,,板塔结合,双流县现代物业管理有限公司,18栋
456户,成都万华房地产开发有限公司,http://saierweimenglsgj.fang.com/,21075,13套,麓山国际塞尔维蒙,麓山大道二段6号,2008年建成,,板楼,成都麓山物业管理有限公司,24栋
1452户,成都远大蜀阳房地产开发有限责任公司,http://changdaoguojiyd.fang.com/esf/,16518,0套,远大中央公园,天府大道南段西侧（南湖梦幻岛旁）,2016-06-01,,板塔结合,远大创新物业有限公司,10栋
1721户,四川佳兆港投资有限公司,http://shidaijingzuolt.fang.com/,16454,6套,佳年华时代晶座,剑南大道中段1533号,2015年建成,,塔楼,四川通用物业有限公司,9栋
2442户,成都瑞华置业有限公司,http://wengehuananyuan.fang.com/,13951,65套,温哥华南苑,西航港街道办事处常乐二段133号,2013年建成,,板楼,长城物业管理公司,8栋
874户,成都远大蜀阳房地产开发有限责任公司,http://linyuchengyd2.fang.com/,14600,14套,远大林语城,双楠大道中段（时代奥特莱斯旁）,2015年建成,,板楼,远大创新物业有限公司,17栋
1856户,成都天基房地产开发公司,http://xiangshulinrs.fang.com/,17060,13套,瑞升橡树林华府,牧华路2533号（牧华路与锦江交汇处）,2014年建成,,板塔结合,瑞德物业有限公司,8栋
140户,成都万华房地产开发有限公司,http://lushanguojibiyingxi.fang.com/,34217,0套,麓山国际碧影溪,人民南路南延线麓山大道一段6号,2005年建成,,独栋,成都麓山物业管理有限公司,70栋
3374户,成都洲际置业有限公司,http://zhoujiyinhaiwan.fang.com/,13849,37套,洲际银海湾,光华大道三段（成都七中旁江安河畔）,2016年建成,,板塔结合,香港英联华物业管理公司,17栋
3590户,四川省水电集团金娇地产,http://xibanyasenlin.fang.com/,12570,85套,西班牙森林,一期凤凰北大街788号，二期凤凰北大街888号附5号,2014年建成,,板塔结合,开开物业服务有限公司,41栋
4058户,四川国坤投资有限公司,http://luosenbaoyingshan.fang.com/,15319,3套,洛森堡映山,麓山大道630号,2014年建成,,塔楼,成都佳祥物业管理有限公司,16栋
7017户,成都洲际置业有限公司,http://yazhouwanzj.fang.com/,13525,35套,洲际亚洲湾,成都光华大道三段江安河畔,2017年建成,,塔楼,香港英联华物业管理公司,29栋
2009户,成都市盈庭置业有限公司,http://yueyingchangtan.fang.com/esf/,9598,0套,月映长滩,金马镇太极大道666号（金泉市场旁）,2011-05-01,,"联排,叠拼",成都中铁瑞城物业管理有限公司温江分公司,102栋
4503户,成都首创驿都置业有限公司,http://wanjuanshansc.fang.com/esf/,14721,121套,首创万卷山,青台山路99号（川师成龙校区旁）,2013-05-01,,板塔结合,北京首万物业服务有限公司成都分公司,23栋
2591户,四川鑫龙实业发展有限公司,http://jingmaomingdu.fang.com/,14390,42套,景茂名都一期,双楠大道白衣上街21号（中心公园旁）,2012年建成,,塔楼,景灿物业管理有限公司,15栋
