,address,detail,detail_info,line_count,location,name,query_name,street_id,telephone,uid
895869228cf08f16d5851f5a,218路;223路;854a路;854路;856路,0,,3,"{'lat': 30.594059, 'lng': 104.189206}",飞鹅村,飞鹅村,,,895869228cf08f16d5851f5a
895c69228cf08f16d5851f56,2路;9路;11路;15路;16路;17路;24路;27路;28路;34路;36路;50路;52路;54路;55路;57路;65路;70路;73路;83路;86路;142路;1131路;g89路;机场专线2号线;夜间专线298路,0,,18,"{'lat': 30.700928, 'lng': 104.078901}",火车北站公交站,火车北站公交站,,,895c69228cf08f16d5851f56
89657e5c52c9e6f9a1d2305b,137路;336路;504路;1077路,0,,2,"{'lat': 30.612816, 'lng': 104.143448}",三环航天立交南内侧,三环航天立交南内侧,,,89657e5c52c9e6f9a1d2305b
898bb05cfae305e7b1077dab,1084路,0,,1,"{'lat': 30.595204, 'lng': 104.119398}",锦瑞路,锦瑞路,,,898bb05cfae305e7b1077dab
899831741e33fb1081288aef,123路;208路;844路;1089路,0,,4,"{'lat': 30.648605, 'lng': 103.977228}",永康路半边街,永康路半边街,,,899831741e33fb1081288aef
89b2391cd7f5866e07026fd9,74路;125路;184路;509路;898路;g25路;g29路;g79路;g83路;g84路;g90路,0,,4,"{'lat': 30.578816, 'lng': 104.074904}",高新区孵化园,高新区孵化园,,,89b2391cd7f5866e07026fd9
8a04a24da8f27de0f842b2ba,150路;1035路,0,,2,"{'lat': 30.709732, 'lng': 104.115046}",东林村南,东林村南,,,8a04a24da8f27de0f842b2ba
8a170953919d1547c8213db3,507路;510路;551路;g121路;t205路;t208路,0,,1,"{'lat': 30.495137, 'lng': 104.088187}",梓州大道麓山大道口,梓州大道麓山大道口,,,8a170953919d1547c8213db3
8a174160be1ef23ce6073862,成都市郫都区天润路,1,"{'tag': '交通设施;其他', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=8a174160be1ef23ce6073862&output=html&source=placeapi_v2', 'image_num': '1'}",1,"{'lat': 30.770718, 'lng': 103.940793}",天润路/百草路(路口),天润路百草路口,8a174160be1ef23ce6073862,,8a174160be1ef23ce6073862
8a88222e6efe3e9ef6e73b49,1018路,0,,1,"{'lat': 30.629308, 'lng': 104.108366}",北顺街东,北顺街东,,,8a88222e6efe3e9ef6e73b49
8a8e8e84eaffcd29d42ce21c,341路,0,,1,"{'lat': 30.67142, 'lng': 104.081484}",忠烈祠西街,忠烈祠西街,,,8a8e8e84eaffcd29d42ce21c
